sample_index,time_s,detection_period,vehicle_x_m,vehicle_y_m,obstacle_x_m,obstacle_y_m,target_x_m,target_y_m,geometric_relative_distance_m,relative_distance_m,safety_distance_m,speed_m_s,velocity_heading_angle_deg
25,2.5477,7,13.7576,2.3609,11.0000,3.5708,0.0000,2.3900,3.0114,3.0182,1.0000,0.8457,-1.0827
26,2.6496,7,13.6679,2.3586,11.0000,3.5681,0.0000,2.3900,2.9293,2.9571,1.0000,0.8520,-1.0569
27,2.7516,8,13.5783,2.3569,11.0000,3.5654,0.0000,2.3900,2.8474,2.8996,1.0000,0.8579,-1.0220
28,2.8535,8,13.4886,2.3566,11.0000,3.5626,0.0000,2.3900,2.7654,2.8374,1.0000,0.8625,-0.9674
29,2.9554,8,13.3989,2.3579,11.0000,3.5599,0.0000,2.3900,2.6832,2.7632,1.0000,0.8649,-0.8905
30,3.0573,8,13.3092,2.3602,11.0000,3.5572,0.0000,2.3900,2.6010,2.6735,1.0000,0.8652,-0.8092
31,3.1592,9,13.2195,2.3625,11.0000,3.5546,0.0000,2.3900,2.5194,2.5702,1.0000,0.8637,-0.7592
32,3.2611,9,13.1298,2.3636,11.0000,3.5520,0.0000,2.3900,2.4389,2.4599,1.0000,0.8614,-0.7816
33,3.3630,9,13.0401,2.3625,11.0000,3.5495,0.0000,2.3900,2.3603,2.3520,1.0000,0.8594,-0.8991
34,3.4649,9,12.9504,2.3586,11.0000,3.5472,0.0000,2.3900,2.2840,2.2544,1.0000,0.8588,-1.0979
35,3.5668,10,12.8607,2.3525,11.0000,3.5449,0.0000,2.3900,2.2100,2.1712,1.0000,0.8605,-1.3238
36,3.6687,10,12.7710,2.3449,11.0000,3.5427,0.0000,2.3900,2.1381,2.1014,1.0000,0.8649,-1.4982
37,3.7707,10,12.6813,2.3374,11.0000,3.5407,0.0000,2.3900,2.0675,2.0391,1.0000,0.8719,-1.5659
38,3.8726,10,12.5916,2.3313,11.0000,3.5388,0.0000,2.3900,1.9979,1.9767,1.0000,0.8807,-1.5028
39,3.9745,11,12.5019,2.3274,11.0000,3.5371,0.0000,2.3900,1.9285,1.9080,1.0000,0.8902,-1.3148
40,4.0764,11,12.4122,2.3258,11.0000,3.5355,0.0000,2.3900,1.8595,1.8310,1.0000,0.8991,-1.0364
41,4.1783,11,12.3225,2.3261,11.0000,3.5341,0.0000,2.3900,1.7912,1.7488,1.0000,0.9019,-0.7270
42,4.2802,11,12.2328,2.3273,11.0000,3.5328,0.0000,2.3900,1.7243,1.6691,1.0000,0.8856,-0.4249
43,4.3821,12,12.1431,2.3283,11.0000,3.5317,0.0000,2.3900,1.6598,1.5971,1.0000,0.8561,-0.1419
44,4.4840,12,12.0534,2.3282,11.0000,3.5307,0.0000,2.3900,1.5986,1.5389,1.0000,0.8228,0.0822
45,4.5859,12,11.9637,2.3270,11.0000,3.5299,0.0000,2.3900,1.5413,1.5045,1.0000,0.7971,0.2147
46,4.6878,12,11.8740,2.3252,11.0000,3.5292,0.0000,2.3900,1.4878,1.4935,1.0000,0.7827,0.2863
47,4.7897,13,11.7843,2.3236,11.0000,3.5287,0.0000,2.3900,1.4379,1.4850,1.0000,0.7668,-2.6250
48,4.8917,13,11.6955,2.3140,11.0000,3.5283,0.0000,2.3900,1.3993,1.4626,1.0000,0.7449,-9.4033
49,4.9936,13,11.6084,2.2945,11.0000,3.5280,0.0000,2.3900,1.3754,1.4302,1.0000,0.7225,-13.6248
50,5.0955,13,11.5217,2.2757,11.0000,3.5279,0.0000,2.3900,1.3565,1.4009,1.0000,0.7013,-13.8464
51,5.1974,14,11.4349,2.2587,11.0000,3.5278,0.0000,2.3900,1.3415,1.3881,1.0000,0.6917,-15.7441
52,5.2993,14,11.3501,2.2359,11.0000,3.5278,0.0000,2.3900,1.3386,1.3905,1.0000,0.6945,-19.5014
53,5.4012,14,11.2671,2.2074,11.0000,3.5280,0.0000,2.3900,1.3473,1.3889,1.0000,0.6947,-18.3094
54,5.5031,14,11.1811,2.1856,11.0000,3.5281,0.0000,2.3900,1.3547,1.3716,1.0000,0.6846,-11.4374
55,5.6050,15,11.0922,2.1740,11.0000,3.5284,0.0000,2.3900,1.3575,1.3559,1.0000,0.6769,-6.0118
56,5.7069,15,11.0028,2.1652,11.0000,3.5286,0.0000,2.3900,1.3634,1.3674,1.0000,0.6802,-0.7422
57,5.8088,15,10.9134,2.1675,11.0000,3.5289,0.0000,2.3900,1.3642,1.3916,1.0000,0.6902,7.5599
58,5.9108,15,10.8262,2.1835,11.0000,3.5292,0.0000,2.3900,1.3569,1.3997,1.0000,0.6911,14.1754
59,6.0127,16,10.7408,2.2071,11.0000,3.5295,0.0000,2.3900,1.3476,1.3741,1.0000,0.6682,17.2507
60,6.1146,16,10.6563,2.2349,11.0000,3.5297,0.0000,2.3900,1.3397,1.3194,1.0000,0.6270,18.5217
61,6.2165,16,10.5722,2.2652,11.0000,3.5299,0.0000,2.3900,1.3351,1.2668,1.0000,0.5899,17.5804
62,6.3184,16,10.4866,2.2922,11.0000,3.5300,0.0000,2.3900,1.3401,1.2526,1.0000,0.5783,15.5837
63,6.4203,16,10.4002,2.3165,11.0000,3.5301,0.0000,2.3900,1.3538,1.2776,1.0000,0.5914,13.0370
64,6.5222,17,10.3122,2.3337,11.0000,3.5301,0.0000,2.3900,1.3800,1.3227,1.0000,0.6215,10.1284
65,6.6241,17,10.2236,2.3458,11.0000,3.5299,0.0000,2.3900,1.4159,1.3692,1.0000,0.6566,9.4725
66,6.7260,17,10.1352,2.3575,11.0000,3.5296,0.0000,2.3900,1.4566,1.4190,1.0000,0.6965,9.2386
67,6.8279,17,10.0465,2.3664,11.0000,3.5292,0.0000,2.3900,1.5038,1.4857,1.0000,0.7470,6.8970
68,6.9298,18,9.9571,2.3701,11.0000,3.5287,0.0000,2.3900,1.5588,1.5659,1.0000,0.8018,3.7815
69,7.0318,18,9.8675,2.3708,11.0000,3.5280,0.0000,2.3900,1.6192,1.6405,1.0000,0.8446,1.9342
70,7.1337,18,9.7778,2.3724,11.0000,3.5272,0.0000,2.3900,1.6814,1.7007,1.0000,0.8704,1.1635
71,7.2356,18,9.6881,2.3755,11.0000,3.5261,0.0000,2.3900,1.7450,1.7563,1.0000,0.8843,0.6828
72,7.3375,19,9.5984,2.3803,11.0000,3.5249,0.0000,2.3900,1.8096,1.8177,1.0000,0.8872,0.5599
73,7.4394,19,9.5087,2.3862,11.0000,3.5236,0.0000,2.3900,1.8755,1.8887,1.0000,0.8854,0.6219
74,7.5413,19,9.4190,2.3922,11.0000,3.5220,0.0000,2.3900,1.9432,1.9706,1.0000,0.8827,0.6314
75,7.6432,19,9.3293,2.3969,11.0000,3.5203,0.0000,2.3900,2.0132,2.0603,1.0000,0.8805,0.5056
76,7.7451,20,9.2396,2.3996,11.0000,3.5184,0.0000,2.3900,2.0858,2.1508,1.0000,0.8796,0.2690
77,7.8470,20,9.1499,2.4000,11.0000,3.5163,0.0000,2.3900,2.1608,2.2343,1.0000,0.8808,-0.0276
78,7.9489,20,9.0602,2.3989,11.0000,3.5140,0.0000,2.3900,2.2375,2.3053,1.0000,0.8841,-0.3139
79,8.0508,20,8.9705,2.3972,11.0000,3.5116,0.0000,2.3900,2.3153,2.3627,1.0000,0.8891,-0.5293
80,8.1528,21,8.8808,2.3961,11.0000,3.5090,0.0000,2.3900,2.3937,2.4107,1.0000,0.8948,-0.6401
81,8.2547,21,8.7911,2.3961,11.0000,3.5063,0.0000,2.3900,2.4722,2.4571,1.0000,0.9001,-0.6380
82,8.3566,21,8.7014,2.3974,11.0000,3.5034,0.0000,2.3900,2.5509,2.5104,1.0000,0.9036,-0.5465
83,8.4585,21,8.6117,2.3994,11.0000,3.5004,0.0000,2.3900,2.6299,2.5765,1.0000,0.9043,-0.4089
84,8.5604,22,8.5220,2.4009,11.0000,3.4972,0.0000,2.3900,2.7097,2.6566,1.0000,0.9017,-0.2729
85,8.6623,22,8.4323,2.4011,11.0000,3.4940,0.0000,2.3900,2.7907,2.7474,1.0000,0.8957,-0.1745
86,8.7642,22,8.3426,2.3990,11.0000,3.4907,0.0000,2.3900,2.8729,2.8421,1.0000,0.8870,-0.1269
87,8.8661,22,8.2528,2.3947,11.0000,3.4873,0.0000,2.3900,2.9564,2.9337,1.0000,0.8767,-0.1162
88,8.9680,23,8.1631,2.3888,11.0000,3.4838,0.0000,2.3900,3.0409,3.0180,1.0000,0.8661,-0.1091
89,9.0699,23,8.0734,2.3824,11.0000,3.4803,0.0000,2.3900,3.1257,3.0951,1.0000,0.8567,-0.0672
90,9.1719,23,7.9837,2.3771,11.0000,3.4768,0.0000,2.3900,3.2105,3.1696,1.0000,0.8496,0.0356
91,9.2738,23,7.8940,2.3739,11.0000,3.4733,0.0000,2.3900,3.2948,3.2480,1.0000,0.8455,0.2018
92,9.3757,24,7.8043,2.3734,11.0000,3.4698,0.0000,2.3900,3.3785,3.3364,1.0000,0.8446,0.4059
93,9.4776,24,7.7146,2.3754,11.0000,3.4663,0.0000,2.3900,3.4618,3.4373,1.0000,0.8464,0.6008
94,9.5795,24,7.6249,2.3791,11.0000,3.4628,0.0000,2.3900,3.5448,3.5485,1.0000,0.8500,0.7325
95,9.6814,24,7.5352,2.3832,11.0000,3.4595,0.0000,2.3900,3.6281,3.6634,1.0000,0.8543,0.7574
96,9.7833,25,7.4455,2.3867,11.0000,3.4562,0.0000,2.3900,3.7119,3.7738,1.0000,0.8580,0.6574
97,9.8852,25,7.3558,2.3887,11.0000,3.4529,0.0000,2.3900,3.7964,3.8726,1.0000,0.8602,0.4468
98,9.9871,25,7.2661,2.3892,11.0000,3.4499,0.0000,2.3900,3.8816,3.9566,1.0000,0.8603,0.1690
99,10.0890,25,7.1764,2.3887,11.0000,3.4469,0.0000,2.3900,3.9673,4.0277,1.0000,0.8584,-0.1161
100,10.1909,26,7.0867,2.3884,11.0000,3.4441,0.0000,2.3900,4.0532,4.0918,1.0000,0.8551,-0.3503
101,10.2929,26,6.9970,2.3891,11.0000,3.4414,0.0000,2.3900,4.1390,4.1568,1.0000,0.8514,-0.4936
102,10.3948,26,6.9073,2.3913,11.0000,3.4389,0.0000,2.3900,4.2247,4.2288,1.0000,0.8484,-0.5352
103,10.4967,26,6.8176,2.3952,11.0000,3.4366,0.0000,2.3900,4.3101,4.3105,1.0000,0.8474,-0.4940
104,10.5986,27,6.7279,2.3999,11.0000,3.4344,0.0000,2.3900,4.3956,4.3996,1.0000,0.8491,-0.4095
105,10.7005,27,6.6382,2.4043,11.0000,3.4325,0.0000,2.3900,4.4814,4.4905,1.0000,0.8539,-0.3263
106,10.8024,27,6.5485,2.4071,11.0000,3.4307,0.0000,2.3900,4.5677,4.5767,1.0000,0.8615,-0.2772
107,10.9043,27,6.4588,2.4073,11.0000,3.4291,0.0000,2.3900,4.6548,4.6540,1.0000,0.8713,-0.2718
108,11.0062,28,6.3690,2.4048,11.0000,3.4278,0.0000,2.3900,4.7426,4.7222,1.0000,0.8818,-0.2936
109,11.1081,28,6.2793,2.3999,11.0000,3.4266,0.0000,2.3900,4.8310,4.7857,1.0000,0.8917,-0.3073
110,11.2100,28,6.1896,2.3939,11.0000,3.4256,0.0000,2.3900,4.9198,4.8520,1.0000,0.8997,-0.2731
111,11.3120,28,6.0999,2.3881,11.0000,3.4249,0.0000,2.3900,5.0086,4.9287,1.0000,0.9047,-0.1630
112,11.4139,29,6.0102,2.3837,11.0000,3.4243,0.0000,2.3900,5.0971,5.0203,1.0000,0.9063,0.0261
113,11.5158,29,5.9205,2.3813,11.0000,3.4239,0.0000,2.3900,5.1854,5.1266,1.0000,0.9045,0.2680
114,11.6177,29,5.8308,2.3810,11.0000,3.4237,0.0000,2.3900,5.2733,5.2426,1.0000,0.9001,0.5139
115,11.7196,29,5.7411,2.3821,11.0000,3.4237,0.0000,2.3900,5.3610,5.3603,1.0000,0.8941,0.7055
116,11.8215,30,5.6514,2.3835,11.0000,3.4239,0.0000,2.3900,5.4488,5.4717,1.0000,0.8878,0.7941
117,11.9234,30,5.5617,2.3842,11.0000,3.4242,0.0000,2.3900,5.5368,5.5720,1.0000,0.8824,0.7552
118,12.0253,30,5.4720,2.3837,11.0000,3.4246,0.0000,2.3900,5.6252,5.6608,1.0000,0.8789,0.5970
119,12.1272,30,5.3823,2.3819,11.0000,3.4252,0.0000,2.3900,5.7138,5.7424,1.0000,0.8776,0.3579
120,12.2291,30,5.2926,2.3797,11.0000,3.4259,0.0000,2.3900,5.8025,5.8235,1.0000,0.8782,0.0943
121,12.3310,31,5.2029,2.3780,11.0000,3.4267,0.0000,2.3900,5.8912,5.9102,1.0000,0.8803,-0.1366
122,12.4330,31,5.1132,2.3779,11.0000,3.4275,0.0000,2.3900,5.9797,6.0053,1.0000,0.8826,-0.2941
123,12.5349,31,5.0235,2.3802,11.0000,3.4285,0.0000,2.3900,6.0678,6.1071,1.0000,0.8841,-0.3649
124,12.6368,31,4.9338,2.3848,11.0000,3.4295,0.0000,2.3900,6.1555,6.2097,1.0000,0.8836,-0.3643
125,12.7387,32,4.8441,2.3909,11.0000,3.4305,0.0000,2.3900,6.2431,6.3059,1.0000,0.8805,-0.3284
126,12.8406,32,4.7544,2.3973,11.0000,3.4316,0.0000,2.3900,6.3307,6.3898,1.0000,0.8748,-0.2981
127,12.9425,32,4.6647,2.4026,11.0000,3.4326,0.0000,2.3900,6.4185,6.4597,1.0000,0.8667,-0.3030
128,13.0444,32,4.5749,2.4056,11.0000,3.4337,0.0000,2.3900,6.5068,6.5189,1.0000,0.8574,-0.3499
129,13.1463,33,4.4852,2.4060,11.0000,3.4347,0.0000,2.3900,6.5955,6.5746,1.0000,0.8481,-0.4195
130,13.2482,33,4.3955,2.4040,11.0000,3.4357,0.0000,2.3900,6.6845,6.6357,1.0000,0.8401,-0.4733
131,13.3501,33,4.3058,2.4005,11.0000,3.4366,0.0000,2.3900,6.7739,6.7089,1.0000,0.8347,-0.4684
132,13.4521,33,4.2161,2.3968,11.0000,3.4374,0.0000,2.3900,6.8632,6.7968,1.0000,0.8327,-0.3736
133,13.5540,34,4.1264,2.3938,11.0000,3.4382,0.0000,2.3900,6.9525,6.8969,1.0000,0.8344,-0.1835
134,13.6559,34,4.0367,2.3923,11.0000,3.4389,0.0000,2.3900,7.0415,7.0026,1.0000,0.8392,0.0772
135,13.7578,34,3.9470,2.3921,11.0000,3.4395,0.0000,2.3900,7.1303,7.1065,1.0000,0.8464,0.3589
136,13.8597,34,3.8573,2.3927,11.0000,3.4399,0.0000,2.3900,7.2191,7.2030,1.0000,0.8547,0.6008
137,13.9616,35,3.7676,2.3929,11.0000,3.4403,0.0000,2.3900,7.3078,7.2907,1.0000,0.8627,0.7494
138,14.0635,35,3.6779,2.3920,11.0000,3.4405,0.0000,2.3900,7.3968,7.3731,1.0000,0.8693,0.7745
139,14.1654,35,3.5882,2.3892,11.0000,3.4406,0.0000,2.3900,7.4860,7.4564,1.0000,0.8736,0.6779
140,14.2673,35,3.4985,2.3850,11.0000,3.4406,0.0000,2.3900,7.5754,7.5473,1.0000,0.8755,0.4921
141,14.3692,36,3.4088,2.3799,11.0000,3.4404,0.0000,2.3900,7.6649,7.6498,1.0000,0.8752,0.2689
142,14.4711,36,3.3191,2.3754,11.0000,3.4401,0.0000,2.3900,7.7544,7.7629,1.0000,0.8735,0.0629
143,14.5731,36,3.2294,2.3726,11.0000,3.4396,0.0000,2.3900,7.8435,7.8812,1.0000,0.8716,-0.0862
144,14.6750,36,3.1397,2.3725,11.0000,3.4391,0.0000,2.3900,7.9324,7.9963,1.0000,0.8706,-0.1641
145,14.7769,37,3.0500,2.3751,11.0000,3.4384,0.0000,2.3900,8.0208,8.1004,1.0000,0.8714,-0.1848
146,14.8788,37,2.9603,2.3799,11.0000,3.4376,0.0000,2.3900,8.1090,8.1887,1.0000,0.8745,-0.1819
147,14.9807,37,2.8706,2.3858,11.0000,3.4366,0.0000,2.3900,8.1971,8.2620,1.0000,0.8800,-0.1939
148,15.0826,37,2.7809,2.3914,11.0000,3.4354,0.0000,2.3900,8.2852,8.3256,1.0000,0.8872,-0.2483
149,15.1845,38,2.6911,2.3955,11.0000,3.4342,0.0000,2.3900,8.3735,8.3878,1.0000,0.8950,-0.3491
150,15.2864,38,2.6014,2.3975,11.0000,3.4328,0.0000,2.3900,8.4621,8.4562,1.0000,0.9021,-0.4742
151,15.3883,38,2.5117,2.3977,11.0000,3.4312,0.0000,2.3900,8.5510,8.5353,1.0000,0.9073,-0.5815
152,15.4902,38,2.4220,2.3967,11.0000,3.4296,0.0000,2.3900,8.6399,8.6245,1.0000,0.9095,-0.6237
153,15.5922,39,2.3323,2.3956,11.0000,3.4279,0.0000,2.3900,8.7289,8.7190,1.0000,0.9081,-0.5654
154,15.6941,39,2.2426,2.3954,11.0000,3.4262,0.0000,2.3900,8.8178,8.8118,1.0000,0.9032,-0.3968
155,15.7960,39,2.1529,2.3965,11.0000,3.4243,0.0000,2.3900,8.9066,8.8972,1.0000,0.8955,-0.1397
156,15.8979,39,2.0632,2.3987,11.0000,3.4225,0.0000,2.3900,8.9952,8.9730,1.0000,0.8861,0.1574
157,15.9998,40,1.9735,2.4012,11.0000,3.4206,0.0000,2.3900,9.0839,9.0421,1.0000,0.8762,0.4328
158,16.1017,40,1.8838,2.4030,11.0000,3.4187,0.0000,2.3900,9.1726,9.1111,1.0000,0.8674,0.6298
159,16.2036,40,1.7941,2.4030,11.0000,3.4168,0.0000,2.3900,9.2616,9.1879,1.0000,0.8606,0.7132
160,16.3055,40,1.7044,2.4005,11.0000,3.4151,0.0000,2.3900,9.3508,9.2786,1.0000,0.8566,0.6788
161,16.4074,41,1.6147,2.3957,11.0000,3.4136,0.0000,2.3900,9.4403,9.3848,1.0000,0.8553,0.5531
162,16.5093,41,1.5250,2.3895,11.0000,3.4124,0.0000,2.3900,9.5301,9.5027,1.0000,0.8564,0.3831
163,16.6112,41,1.4353,2.3831,11.0000,3.4114,0.0000,2.3900,9.6198,9.6248,1.0000,0.8588,0.2193
164,16.7132,41,1.3456,2.3779,11.0000,3.4107,0.0000,2.3900,9.7095,9.7422,1.0000,0.8614,0.0994
165,16.8151,42,1.2559,2.3750,11.0000,3.4104,0.0000,2.3900,9.7990,9.8481,1.0000,0.8631,0.0365
166,16.9170,42,1.1662,2.3750,11.0000,3.4104,0.0000,2.3900,9.8882,9.9404,1.0000,0.8629,0.0165
167,17.0189,42,1.0765,2.3775,11.0000,3.4107,0.0000,2.3900,9.9772,10.0218,1.0000,0.8607,0.0069
168,17.1208,42,0.9868,2.3813,11.0000,3.4112,0.0000,2.3900,10.0661,10.0988,1.0000,0.8564,-0.0257
169,17.2227,43,0.8970,2.3848,11.0000,3.4120,0.0000,2.3900,10.1550,10.1785,1.0000,0.8509,-0.0946
170,17.3246,43,0.8073,2.3871,11.0000,3.4129,0.0000,2.3900,10.2441,10.2651,1.0000,0.8453,-0.1850
171,17.4265,43,0.7176,2.3881,11.0000,3.4140,0.0000,2.3900,10.3334,10.3580,1.0000,0.8408,-0.2635
172,17.5284,43,0.6279,2.3884,11.0000,3.4151,0.0000,2.3900,10.4228,10.4518,1.0000,0.8386,-0.2970
173,17.6303,44,0.5382,2.3885,11.0000,3.4162,0.0000,2.3900,10.5121,10.5405,1.0000,0.8395,-0.2715
174,17.7323,44,0.4485,2.3888,11.0000,3.4173,0.0000,2.3900,10.6015,10.6225,1.0000,0.8438,-0.1992
175,17.8342,44,0.3588,2.3894,11.0000,3.4182,0.0000,2.3900,10.6908,10.7010,1.0000,0.8512,-0.1111
176,17.9361,44,0.2691,2.3900,11.0000,3.4190,0.0000,2.3900,10.7801,10.7813,1.0000,0.8609,-0.0399
177,18.0380,45,0.1794,2.3903,11.0000,3.4195,0.0000,2.3900,10.8694,10.8671,1.0000,0.8715,-0.0033
178,18.1399,45,0.0897,2.3901,11.0000,3.4199,0.0000,2.3900,10.9588,10.9575,1.0000,0.8817,0.0031
179,18.2418,45,0.0000,2.3900,11.0000,3.4200,0.0000,2.3900,11.0481,11.0481,1.0000,0.8901,0.0000
